"G1","G2","G5","G10","G20","G50"
108.7,40.82,0,0,0,124.34
61.87,101.45,0,0,0,109.71
18.08,-36.59,0,0,0,-2.11
186.34,152.21,0,0,0,100.21
4.65,134.31,0,0,0,5.89
349.59,296.31,0,0,0,25437.33
0.96,215.17,0,0,0,-9.94
1.98,-16.88,0,0,0,-23.25
26.6,-4.41,0,0,0,5.02
11.63,101.9,0,0,0,126.53
79.78,53.97,0,0,0,56366.56
268.93,38.56,0,0,0,106.52
-51.37,-84.09,0,0,0,-4.25
-19.9,-84.54,0,0,0,458.48
224.78,153.23,0,0,0,147.56
13.92,47.69,0,0,0,13.91
153315.74,1.65,0,0,0,1194406.52
9.29,10.76,0,0,0,3318.69
5654.82,14560.34,0,0,0,433277.93
195896.89,2651876.55,0,0,0,1493.3
-3.15,7.07,0,0,0,45.19
5.71,-13.64,0,0,0,24.5
