"G1","G2","G5","G10","G20","G50"
1.33,-0.64,0,0,0,0.36
0.44,0.15,0,0,0,0.55
1.47,-0.34,0,0,0,3.57
2.5,1.46,0,0,0,0.85
-0.66,-0.6,0,0,0,2.64
0.92,1.16,0,0,0,9.88
-0.01,-0.08,0,0,0,1.09
0.04,0.01,0,0,0,26.82
-0.21,-0.13,0,0,0,47.9
-0.57,-0.73,0,0,0,13.85
0.28,0.18,0,0,0,1.62
1.13,0.59,0,0,0,0.5
-0.64,-0.98,0,0,0,-0.13
-0.67,-0.9,0,0,0,1.62
0.56,7.84,0,0,0,7.22
0.15,0.03,0,0,0,15.78
8.66,0.06,0,0,0,74.29
0.21,0.72,0,0,0,0.18
44.91,97.44,0,0,0,20404.28
3.14,4.77,0,0,0,1.28
-0.09,0.18,0,0,0,-0.08
-0.18,0.45,0,0,0,4.28
