"G1","G2","G5","G10","G20","G50"
68.77,129.95,0,0,0,113.76
65.43,85.4,0,0,0,87.98
2.01,-41.66,0,0,0,0.97
192.77,156.85,0,0,0,38.42
9.68,79.82,0,0,0,20.2
358.29,282.86,0,0,0,34969.23
12.32,71.98,0,0,0,-10.45
12.26,-18.13,0,0,0,-1.69
14.27,-4.77,0,0,0,19.23
-19.25,12.75,0,0,0,180.11
100.36,54.61,0,0,0,38481.52
287,25.57,0,0,0,46.14
-55.81,-88.63,0,0,0,27.46
-11.37,-87.21,0,0,0,390.3
158.33,79.48,0,0,0,232.32
9.14,9.11,0,0,0,103.3
138571.11,0.15,0,0,0,1259632.47
13.6,20.15,0,0,0,1852.84
5700.01,14213.87,0,0,0,486890.84
176425.69,2222447.56,0,0,0,4101.58
-5.18,-8.09,0,0,0,47.04
6.78,-8.53,0,0,0,-8.5
