"G1","G2","G5","G10","G20","G50"
38.39,39.83,0,0,0,7.62
-3.98,34.51,0,0,0,96.21
-10.63,20.67,0,0,0,59.53
61.8,73.55,0,0,0,42.7
-0.14,22.74,0,0,0,15
51.88,64.94,0,0,0,97.4
-1.13,2.65,0,0,0,50.43
0.54,1.95,0,0,0,42.64
-0.39,-0.01,0,0,0,10.09
-11.2,12.98,0,0,0,47.66
-4.68,35.23,0,0,0,88.85
53.26,60.43,0,0,0,51.58
-30.4,-131.53,0,0,0,-1.43
15.89,17.3,0,0,0,77.41
36.33,37.05,0,0,0,75.63
7,6.76,0,0,0,-3.27
96.54,99.42,0,0,0,99.86
17.46,14.83,0,0,0,75.77
92.49,94.93,0,0,0,99.61
96.41,99.18,0,0,0,95.32
11.22,9.04,0,0,0,16.02
-9.07,21.05,0,0,0,59.96
